,text,Date,label
0,numerous countries considered meeting would peace house freedom house border north south korea representative important lasting site third party country asking,04/30/2018,-1
1,white house correspondents f dinner dead know total disaster embarrassment great country stands fake news alive well beautifully represented saturday night,04/30/2018,-1
2,headline gkim prepared cede nuclear weapons u pledges invade h failing new york times also shut nuclear test site may,04/30/2018,-1
3,white house correspondents f dinner failure last year year embarrassment everyone associated filthy gcomedian h totally bombed ft even deliver lines much like seth meyers weak performance put dinner rest start,04/30/2018,-1
4,gtrump fs triumphs driving critics crazy h thank steve hilton nextrevfnc want right wonderful u,04/30/2018,-1
5,got recent poll much higher president time well much accomplished,04/29/2018,0
6,washington michigan big success washington c ft work everyone talking fact white house correspondents dinner big boring bust called comedian really gbombed h greggutfeld host next year petehegseth,04/29/2018,0
7,great evening last night washington michigan enthusiasm knowledge love room unreal many thousands people ft get cherish back,04/29/2018,0
8,join live washington michigan pme foxnews maga,04/28/2018,2
9,secret service informed senator jon tester fs statements admiral jackson true findings horrible thing c must live like phony russian collusion tester lose race montana dishonest sick,04/28/2018,2
10,look forward great state michigan tonight major business expansion jobs pouring state auto companies expanding record pace big crowd tonight live v,04/28/2018,2
11,long good talk president moon south korea things going well time location meeting north korea set also spoke prime minister abe japan inform ongoing negotiations,04/28/2018,2
12,gclapper lied fraudulent dossier leaks cnn h foxandfriends foxnews lying machine works fake news cnn,04/28/2018,2
13,great people montana stand kind slander talking great human admiral jackson kind man montana would respect admire reason whatsoever reputation shattered fair tester,04/28/2018,2
14,allegations made senator jon tester admiral doctor ron jackson proving false secret service unable confirm fact deny phony democrat charges absolutely devastated wonderful jackson family tester resign,04/28/2018,2
15,house intelligence committee rules collusion trump campaign russia saying along big hoax democrats based payments lies never special counsel appointed witch hunt,04/28/2018,2
16,house intelligence committee rules collusion trump campaign russia saying along big hoax democrats based payments lies never special councel appointed witch hunt,04/28/2018,2
17,urge americans participate takebackday tomorrow let fs come together beat last october fs record disposed prescription pills visit learn participate saturday every day,04/27/2018,1
18,house intelligence committee report released gno evidence h trump campaign gcolluded coordinated conspired russia h clinton campaign paid opposition research obtained russia wow total witch hunt must end,04/27/2018,1
19,look forward meeting chancellor angela merkel germany today much discuss little time good great countries,04/27/2018,1
20,kanye west performed great service black community big things happening eyes opened first time decades legacy stuff thank also chance dr darrell scott really get lowest black hispanic unemployment history,04/27/2018,1
21,please forget great help good friend president xi china given united states particularly border north korea without would much longer tougher process,04/27/2018,1
22,great staff sgt dan nevins incredible wounded warriors white house yesterday truly brave special people foxandfriends,04/27/2018,1
23,korean war end united states great people proud taking place korea,04/27/2018,1
24,furious year missile launches nuclear testing historic meeting north south korea taking place good things happening time tell,04/27/2018,1
